Angle theta,Perpendicular,Parallel,Unpolarised
44.6,4585.836352,5235.994141,4910.915247
44.7,5284.605216,5428.845039,5356.725127
44.8,5790.989994,5531.557911,5661.273952
44.9,6055.712511,5532.767513,5794.240012
45,6053.615835,5431.155289,5742.385562
45.1,5785.767523,5235.336321,5510.551922
45.2,5279.005226,4962.799796,5120.902511
45.3,4583.001896,4638.028514,4610.515205
45.4,3765.166022,4289.997977,4027.582
45.5,2903.897151,3949.30945,3426.603301
45.6,2080.868932,3645.239456,2863.054194
45.7,1373.097166,3402.988539,2388.042853
45.8,845.561296,3241.385544,2043.47342
45.9,545.0843391,3171.253373,1858.168856
46,496.045558,3194.573726,1845.309642
46.1,698.3155332,3304.508733,2001.412133
46.2,1127.583428,3486.254492,2306.91896
46.3,1738.012763,3718.623482,2728.318122
46.4,2466.937774,3976.186659,3221.562216
46.5,3241.11901,4231.757984,3736.438497
46.6,3983.932586,4458.977938,4221.455262
46.7,4622.785799,4634.750267,4628.768033
46.8,5096.039698,4741.307155,4918.673426
46.9,5358.77701,4767.719599,5063.248305
47,5386.874909,4710.727369,5048.801139
47.1,5179.013901,4574.830627,4876.922264
47.2,4756.459274,4371.656351,4564.057813
47.3,4160.669571,4118.680372,4139.674972
47.4,3448.996163,3837.443721,3643.219942
47.5,2688.918917,3551.445092,3120.182004
47.6,1951.397959,3283.915846,2617.656903
47.7,1303.9982,3055.688464,2179.843332
47.8,804.4550231,2883.35395,1843.904487
47.9,495.2961514,2777.870424,1636.583288
48,400.0223795,2743.737819,1571.880099
48.1,521.1904698,2778.79707,1649.99377
48.2,840.5513038,2874.652054,1857.601679
48.3,1321.194372,3017.654605,2169.424488
48.4,1911.455784,3190.342464,2550.899124
48.5,2550.179947,3373.181568,2961.680758
48.6,3172.800745,3546.44074,3359.620742
48.7,3717.637883,3692.020342,3704.829112
48.8,4131.793974,3795.066763,3963.430368
48.9,4376.087888,3845.230218,4110.659053
49,4428.563907,3837.461342,4133.012625
49.1,4286.263326,3772.288428,4029.275877
49.2,3965.119987,3655.567395,3810.343691
49.3,3498.026473,3497.745764,3497.886118
49.4,2931.294777,3312.725604,3122.01019
49.5,2319.887247,3116.444748,2718.165998
49.6,1721.905976,2925.317616,2323.611796
49.7,1192.891342,2754.685221,1973.788282
49.8,780.4880024,2617.418035,1698.953019
49.9,519.9895475,2522.796357,1521.392952
50,431.1770269,2475.762984,1453.470006
50.1,516.7319228,2476.605305,1496.668614
50.2,762.3449262,2521.082321,1641.713624
50.3,1138.474087,2600.970384,1869.722235
50.4,1603.546183,2704.963577,2154.25488
50.5,2108.258952,2819.833899,2464.046425
50.6,2600.541927,2931.735458,2766.138692
50.7,3030.679096,3027.527187,3029.103141
50.8,3356.091684,3095.990814,3226.041249
50.9,3545.323532,3128.834263,3337.078897
51,3580.859325,3121.393766,3351.126546
51.1,3460.527761,3072.978338,3266.75305
51.2,3197.384979,2986.834805,3092.109892
51.3,2818.123665,2869.747138,2843.935401
51.4,2360.195426,2731.31701,2545.756218
51.5,1867.954604,2583.000454,2225.477529
51.6,1388.219414,2436.995737,1912.607575
51.7,965.6934254,2305.088636,1635.391031
51.8,638.6933685,2197.56231,1418.127839
51.9,435.5888454,2122.270237,1278.929541
52,372.2808254,2083.953277,1228.117051
52.1,450.9374054,2083.857566,1267.397486
52.2,660.078557,2119.681199,1389.879878
52.3,975.9692155,2185.847078,1580.908147
52.4,1365.155102,2274.069789,1819.612445
52.5,1787.869976,2374.158504,2081.01424
52.6,2201.966322,2474.977949,2338.472135
52.7,2566.980316,2565.477001,2566.228658
52.8,2847.939346,2635.69047,2741.814908
52.9,3018.555429,2677.624183,2848.089806
53,3063.516159,2685.945985,2874.731072
53.1,2979.678767,2658.424421,2819.051594
53.2,2776.082703,2596.080771,2686.081737
53.3,2472.810861,2503.046504,2487.928683
53.4,2098.838011,2386.144755,2242.491383
53.5,1689.097035,2254.238684,1971.66786
53.6,1281.06097,2117.40946,1699.235215
53.7,911.1758871,1986.040512,1448.608199
53.8,611.4839362,1869.89142,1240.687678
53.9,406.7478992,1777.244047,1091.995973
54,312.3322665,1714.195385,1013.263826
54.1,333.0172456,1684.157058,1008.587152
54.2,462.8295234,1687.601873,1075.215698
54.3,685.8761411,1722.075083,1203.975612
54.4,978.0748341,1782.464224,1380.269529
54.5,1309.594174,1861.498601,1585.546388
54.6,1647.756833,1950.429733,1799.093283
54.7,1960.124141,2039.829029,1999.976585
54.8,2217.472218,2120.429826,2168.951022
54.9,2396.389055,2183.938449,2290.163752
55,2481.265279,2223.743158,2352.504218
55.1,2465.514096,2235.460273,2350.487185
55.2,2351.93162,2217.272358,2284.601989
55.3,2152.189996,2170.032661,2161.111329
55.4,1885.534999,2097.131153,1991.333076
55.5,1576.829737,2004.138806,1790.484271
55.6,1254.141047,1898.266028,1576.203538
55.7,946.1004334,1787.687056,1366.893745
55.8,679.284703,1680.792993,1180.038848
55.9,475.8523529,1585.441384,1030.646868
56,351.6417751,1508.269279,929.9555272
56.1,314.8899994,1454.129843,884.509921
56.2,365.6706706,1425.700478,895.6855743
56.3,496.0830305,1423.294263,959.6886465
56.4,691.1559312,1444.887736,1068.021833
56.5,930.3683077,1486.358491,1208.363399
56.6,1189.635376,1541.907305,1365.77134
56.7,1443.572311,1604.623375,1524.097843
56.8,1667.827118,1667.139042,1667.48308
56.9,1841.273063,1722.313126,1781.793095
57,1947.868026,1763.880403,1855.874214
57.1,1978.02146,1787.008705,1882.515083
57.2,1929.356182,1788.714387,1859.035285
57.3,1806.807528,1768.100417,1787.453972
57.4,1622.061735,1726.398004,1674.229869
57.5,1392.393525,1666.810797,1529.602161
57.6,1139.01485,1594.178764,1366.596807
57.7,885.0883588,1514.495126,1199.791742
57.8,653.5868161,1434.322843,1043.954829
57.9,465.191433,1360.165881,912.6786571
58,336.4168446,1297.854098,817.1354716
58.1,278.1289975,1251.998799,765.0638981
58.2,294.5863585,1225.568994,760.0776762
58.3,383.0877816,1219.626848,801.3573146
58.4,534.2561471,1233.245743,883.7509449
58.5,732.9301826,1263.617314,998.2737485
58.6,959.5826107,1306.336163,1132.959387
58.7,1192.135648,1355.834465,1273.985057
58.8,1408.009065,1405.924822,1406.966944
58.9,1586.214684,1450.399708,1518.307196
59,1709.306391,1483.630723,1596.468557
59.1,1765.006943,1501.110987,1633.058965
59.2,1747.361279,1499.889419,1623.625349
59.3,1657.308209,1478.855847,1568.082028
59.4,1502.614763,1438.849939,1470.732351
59.5,1297.175472,1382.583524,1339.879498
59.6,1059.737272,1314.383465,1187.060369
59.7,812.1642634,1239.779226,1025.971745
59.8,577.4002523,1164.973996,871.1871244
59.9,377.3166578,1096.249393,736.7830253
60,230.6460098,1039.360203,635.0031063
60.1,151.1954629,998.9768139,575.0861384
60.2,146.5106832,978.2286781,562.3696807
60.3,217.1201027,978.3928235,597.7564631
60.4,356.4363507,998.7578464,677.5970986
60.5,551.3304848,1036.677288,794.0038864
60.6,783.3310828,1087.808342,935.5697123
60.7,1030.340341,1146.514159,1088.42725
60.8,1268.708822,1206.392283,1237.550553
60.9,1475.47442,1260.879504,1368.176962
61,1630.553135,1303.875784,1467.21446
61.1,1718.671484,1330.327788,1524.499636
61.2,1730.852845,1336.715986,1533.784416
61.3,1665.310974,1321.398239,1493.354607
61.4,1527.659579,1284.776214,1406.217896
61.5,1330.412082,1229.267759,1279.83992
61.6,1091.814218,1159.086921,1125.450569
61.7,834.1173024,1079.851734,956.9845183
61.8,581.4554367,998.056598,789.7560173
61.9,357.5299081,920.4592774,638.9945927
62,183.3245975,853.4410127,518.3828051
62.1,75.07491937,802.4010896,438.7380045
62.2,42.6896512,771.244146,406.9668986
62.3,88.78196887,762.0097473,425.3958581
62.4,208.4071647,774.6801602,491.5436624
62.5,389.5355852,807.1850975,598.3603413
62.6,614.2170535,855.6031365,734.910095
62.7,860.32462,914.5404058,887.4325129
62.8,1103.707785,977.6498514,1040.678818
62.9,1320.544209,1038.240651,1179.39243
63,1489.658608,1089.918514,1289.788561
63.1,1594.580191,1127.194584,1360.887388
63.2,1625.135488,1146.003753,1385.56962
63.3,1578.419295,1144.082157,1361.250726
63.4,1459.048222,1121.167539,1290.10788
63.5,1278.672717,1079.003695,1178.838206
63.6,1054.797416,1021.149596,1037.973506
63.7,809.0286306,952.6131284,880.8208795
